Category,City,Country,Customer ID,Customer Name,Discount Category ,Order Date,Order ID,Postal Code,Product ID,Product Name,Profit Status ,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Profit,Profit Ratio,Quantity,Sales,Shipping Days
Office Supplies,Durham,United States,JC-16105,Julie Creighton,Low Discount ,03-09-2015,CA-2015-149734,27707,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Profit,South,Corporate,08-09-2015,Standard Class,North Carolina,Envelopes,0.2,62.8075,0.3125,7,200.984,5
Office Supplies,Chicago,United States,CS-12400,Christopher Schild,Low Discount ,13-11-2017,US-2017-119662,60623,OFF-ST-10003656,Safco Industrial Wire Shelving,Loss,Central,Home Office,16-11-2017,First Class,Illinois,Storage,0.2,-48.9549,-0.2125,3,230.376,3
Furniture,Columbia,United States,PO-18865,Patrick O'Donnell,No Discount ,28-05-2017,CA-2017-140088,29203,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,Profit,South,Consumer,30-05-2017,Second Class,South Carolina,Chairs,0,33.2156,0.11,2,301.96,2
Technology,Rochester,United States,PG-18895,Paul Gonzalez,No Discount ,26-10-2017,CA-2017-155558,55901,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Profit,Central,Consumer,02-11-2017,Standard Class,Minnesota,Accessories,0,6.7966,0.34,1,19.99,7
Office Supplies,Rochester,United States,PG-18895,Paul Gonzalez,No Discount ,26-10-2017,CA-2017-155558,55901,OFF-LA-10000134,Avery 511,Profit,Central,Consumer,02-11-2017,Standard Class,Minnesota,Labels,0,2.9568,0.48,2,6.16,7
Office Supplies,Houston,United States,GM-14455,Gary Mitchum,Low Discount ,05-04-2016,CA-2016-159695,77095,OFF-ST-10003442,Eldon Portable Mobile Manager,Profit,Central,Home Office,10-04-2016,Second Class,Texas,Storage,0.2,13.8572,0.0875,7,158.368,5
Office Supplies,Los Angeles,United States,JS-15685,Jim Sink,No Discount ,17-09-2016,CA-2016-109806,90036,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,Profit,West,Corporate,22-09-2016,Standard Class,California,Art,0,6.633,0.33,3,20.1,5
Technology,Los Angeles,United States,JS-15685,Jim Sink,Low Discount ,17-09-2016,CA-2016-109806,90036,TEC-PH-10004093,Panasonic Kx-TS550,Profit,West,Corporate,22-09-2016,Standard Class,California,Phones,0.2,8.2782,0.1125,2,73.584,5
Office Supplies,Los Angeles,United States,JS-15685,Jim Sink,No Discount ,17-09-2016,CA-2016-109806,90036,OFF-PA-10000304,Xerox 1995,Profit,West,Corporate,22-09-2016,Standard Class,California,Paper,0,3.1104,0.48,1,6.48,5
Office Supplies,Minneapolis,United States,KB-16315,Karl Braun,No Discount ,31-01-2015,CA-2015-149587,55407,OFF-PA-10003177,Xerox 1999,Profit,Central,Consumer,05-02-2015,Second Class,Minnesota,Paper,0,6.2208,0.48,2,12.96,5
Furniture,Minneapolis,United States,KB-16315,Karl Braun,No Discount ,31-01-2015,CA-2015-149587,55407,FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",Profit,Central,Consumer,05-02-2015,Second Class,Minnesota,Furnishings,0,16.5354,0.31,3,53.34,5
Office Supplies,Minneapolis,United States,KB-16315,Karl Braun,No Discount ,31-01-2015,CA-2015-149587,55407,OFF-BI-10002852,Ibico Standard Transparent Covers,Profit,Central,Consumer,05-02-2015,Second Class,Minnesota,Binders,0,16.1504,0.49,2,32.96,5
Office Supplies,Portland,United States,RB-19705,Roger Barcio,High Discount ,06-11-2017,US-2017-109484,97206,OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,Loss,West,Home Office,12-11-2017,Standard Class,Oregon,Binders,0.7,-3.788,-0.666666667,1,5.682,6
Furniture,New York City,United States,PN-18775,Parhena Norris,No Discount ,09-11-2017,CA-2017-161018,10009,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,Profit,East,Home Office,11-11-2017,Second Class,New York,Furnishings,0,40.5426,0.42,7,96.53,2
